title	link	guid	category	description	pubDate
MBB College, Agartala	http://mbbcollege.nic.in	http://mbbcollege.nic.in	Academies / Institutions (Grant in Aid)	Official site of Maharaja Bir Bikram College, Agartala	Tue, 29 Jan 2008 12:00:00 +0530
Womens College, Agartala	http://www.womenscollege.nic.in	http://www.womenscollege.nic.in	Academies / Institutions (Grant in Aid)	Official website of Womens College Agartala	Tue, 29 Jan 2008 12:00:00 +0530
State Institute of Public Administration and Rural Development (SIPARD)	http://www.sipard.gov.in	http://www.sipard.gov.in	Academies / Institutions (Grant in Aid)	State Institute of Public Administration and Rural Development (SIPARD), Tripura	Thu, 02 Nov 2000 12:00:00 +0530
Krishi Vigyan Kendra, South Tripura, Tripura	http://www.kvksouthtripura.org.in	http://www.kvksouthtripura.org.in	Academies / Institutions (Grant in Aid)	Krishi Vigyan Kendra, South Tripura, Tripura	Wed, 15 Sep 2010 12:00:00 +0530
Tripura Institute of Technology (TIT)	http://titagartala.nic.in	http://titagartala.nic.in	Academies / Institutions (Grant in Aid)	Tripura Institute of Technology (TIT)	Sat, 02 Oct 2010 12:00:00 +0530
Tripura Minorities Cooperative Development Corporation Limited (TMCDCL)	http://tmcdcl.tripura.gov.in	http://tmcdcl.tripura.gov.in	Boards / Undertakings	Tripura Minorities Cooperative Development Corporation Limited (TMCDCL)	Tue, 06 Oct 2015 12:00:00 +0530
Tripura State Pollution Control Board (TSPCB)	http://tspcb.tripura.gov.in	http://tspcb.tripura.gov.in	Boards / Undertakings	Tripura State Pollution Control Board (TSPCB)	Tue, 29 Jun 2004 12:00:00 +0530
Tripura Power Company Limited (TPC), Oil and Natural Gas Corporation Limited (ONGC)	http://www.otpcindia.in	http://www.otpcindia.in	Boards / Undertakings	Tripura Power Company Limited (TPC), Oil and Natural Gas Corporation Limited (ONGC)	Wed, 15 Jun 2011 12:00:00 +0530
Teachers' Recruitment Board, Tripura	http://trb.tripura.gov.in	http://trb.tripura.gov.in	Boards / Undertakings	Teachers&#039; Recruitment Board, Tripura	Tue, 06 Oct 2015 12:00:00 +0530
Agartala Municipal Council	http://agartalacity.nic.in	http://agartalacity.nic.in	Boards / Undertakings	Agartala Municipal Council	Thu, 29 Dec 2005 12:00:00 +0530
Tripura Forest Developent And Plantation Corporation Limited (TFDPC)	http://tfdpc.tripura.gov.in	http://tfdpc.tripura.gov.in	Boards / Undertakings	Tripura Forest Developent And Plantation Corporation Limited (TFDPC)	Tue, 06 Oct 2015 12:00:00 +0530
Tripura Board of Joint Entrance Examination	http://tbjee.nic.in	http://tbjee.nic.in	Boards / Undertakings	Tripura Board of Joint Entrance Examination	Thu, 10 Jun 2010 12:00:00 +0530
Tripura State Disaster Management Authority	http://tdma.nic.in	http://tdma.nic.in	Boards / Undertakings	Tripura State Disaster Management Authority	Tue, 30 Nov 2010 12:00:00 +0530
Tripura Industrial Development Corporation Limited (TIDC)	http://www.tidc.in	http://www.tidc.in	Boards / Undertakings	Tripura Industrial Development Corporation Limited (TIDC)	Mon, 04 Jun 2001 12:00:00 +0530
Tripura Forest Development and Plantation Corporation Limited (TFDPC)	http://tfdpc.com	http://tfdpc.com	Boards / Undertakings	Tripura Forest Development and Plantation Corporation Limited (TFDPC)	Tue, 10 Jul 2001 12:00:00 +0530
Tripura Tea Development Corporation Limited (TTDC)	http://tripura.nic.in/ttdc	http://tripura.nic.in/ttdc	Boards / Undertakings	Tripura Tea Development Corporation Limited (TTDC)	Mon, 04 Jun 2001 12:00:00 +0530
Police Accountability Commission (PAC), Tripura	http://tpac.nic.in	http://tpac.nic.in	Commissions/Committees/Missions	Police Accountability Commission (PAC), Tripura	Thu, 30 Aug 2012 12:00:00 +0530
Commissioner of Taxes and Excise, Tripura	http://taxes.tripura.gov.in	http://taxes.tripura.gov.in	Commissions/Committees/Missions	Commissioner of Taxes and Excise, Tripura	Tue, 10 Jul 2001 12:00:00 +0530
Tripura Nursing Council	http://nursingcouncil.tripura.gov.in	http://nursingcouncil.tripura.gov.in	Councils	Tripura Nursing Council	Tue, 06 Oct 2015 12:00:00 +0530
Tripura State Council For Science and Technology	http://tscst.nic.in	http://tscst.nic.in	Councils	Tripura State Council For Science and Technology	Mon, 18 Oct 2010 12:00:00 +0530
Tripura Biotechnology Council (TBC)	http://biotechnologycouncil.tripura.gov.in	http://biotechnologycouncil.tripura.gov.in	Councils	Tripura Biotechnology Council (TBC)	Tue, 06 Oct 2015 12:00:00 +0530
Tripura State Medical Council (TSMC)	http://tsmc.tripura.gov.in	http://tsmc.tripura.gov.in	Councils	Tripura State Medical Council (TSMC)	Tue, 06 Oct 2015 12:00:00 +0530
Tripura State Blood Transfusion Council	http://tsbtc.tripura.gov.in	http://tsbtc.tripura.gov.in	Councils	Tripura State Blood Transfusion Council	Tue, 06 Oct 2015 12:00:00 +0530
SCERT - State Council of Educational Research and Training, Tripura	http://scerttripura.com	http://scerttripura.com	Councils	SCERT - State Council of Educational Research and Training, Tripura	Mon, 04 Apr 2011 12:00:00 +0530
Governor of Tripura	http://tripura.gov.in/government/keycontact/2	http://tripura.gov.in/government/keycontact/2	Governor&#039;s Office(Raj Bhavan)	Governor of Tripura	Sat, 08 Nov 2014 12:00:00 +0530
Chief Minister of Tripura	http://tripura.gov.in/government/keycontact/3	http://tripura.gov.in/government/keycontact/3	Chief Minister&#039;s Office	Chief Minister of Tripura	Sat, 08 Nov 2014 12:00:00 +0530
Agartala Municipal Council, Tripura	http://agartalacity.tripura.gov.in	http://agartalacity.tripura.gov.in	Municipalities / Councils / Boards	Agartala Municipal Council, Tripura	Tue, 06 Oct 2015 12:00:00 +0530
Tourism Department	http://www.tripuratourism.nic.in	http://www.tripuratourism.nic.in	Others	Tripura Tourism Development Corporation Limited, 	Thu, 12 Mar 2009 12:00:00 +0530
Hospital Management System	http://tsu.trp.nic.in/hms	http://tsu.trp.nic.in/hms	Others	Hospital Management System, Department of Health and Family Welfare	Tue, 10 Jan 2006 12:00:00 +0530
Department for Welfare of Scheduled Castes, Other Backward Classes and Minorities	http://tripurascobcrm.nic.in	http://tripurascobcrm.nic.in	Others	Department for Welfare of Scheduled Castes, Other Backward Classes and Minorities	Wed, 27 Jun 2007 12:00:00 +0530
Official Portal of Tripura Government	http://tripura.gov.in	http://tripura.gov.in	Official Portal of State Government	Official Portal of Tripura Government	Fri, 26 Apr 2013 12:00:00 +0530
Sarva Shiksha Abhiyan (SSA), Tripura Rajya Mission	http://www.ssatripura.com	http://www.ssatripura.com	Schemes / Programmes and Missions	Sarva Shiksha Abhiyan (SSA), Tripura Rajya Mission	Sat, 02 Oct 2010 12:00:00 +0530
Tripura - Japan International Cooperation Agency Project	http://www.tripurajica.com	http://www.tripurajica.com	Schemes / Programmes and Missions	Official website of the Tripura - Japan International Cooperation Agency Project	Thu, 19 Mar 2009 12:00:00 +0530
Tripura Tourism	http://tripuratourism.gov.in	http://tripuratourism.gov.in	Schemes / Programmes and Missions	Tripura Tourism	Tue, 22 Sep 2015 12:00:00 +0530
Disaster Management Services, Tripura	http://sdmtripura.nic.in	http://sdmtripura.nic.in	Schemes / Programmes and Missions	Disaster Management Services, Tripura	Fri, 20 Nov 2009 12:00:00 +0530
eProcurement Portal, Government of Tripura	https://tripuratenders.gov.in	https://tripuratenders.gov.in	Schemes / Programmes and Missions	eProcurement Portal, Government of Tripura	Tue, 23 Sep 2014 12:00:00 +0530
Tripura Farmers Portal  and  Kisan Call Center (KCC)	http://farmersportal.tripura.gov.in	http://farmersportal.tripura.gov.in	Schemes / Programmes and Missions	Tripura Farmers Portal &amp; Kisan Call Center (KCC)	Tue, 06 Oct 2015 12:00:00 +0530
Tripura Examination Results 2011	http://tripuraresults.nic.in	http://tripuraresults.nic.in	Schemes / Programmes and Missions	Tripura Examination Results 2011	Tue, 10 May 2011 12:00:00 +0530
Food and Essential Commodities Assurance  and  Security Target (FEAST), Govt. of Tripura	http://feasttr.gov.in	http://feasttr.gov.in	Schemes / Programmes and Missions	Food and Essential Commodities Assurance and Security Target (FEAST), Govt. of Tripura	Wed, 03 May 2017 12:00:00 +0530
eJami - Land Records and Land Registration, NLRMP, Tripura	http://jami.tripura.gov.in	http://jami.tripura.gov.in	Schemes / Programmes and Missions	eJami - Land Records and Land Registration, NLRMP, Tripura	Tue, 06 Oct 2015 12:00:00 +0530
Tripura Natural Gas Company Limited (TNGCL)	http://www.tngcl.com	http://www.tngcl.com	PSUs / Joint Ventures	Tripura Natural Gas Company Limited (TNGCL)	Sat, 02 Oct 2010 12:00:00 +0530
Trishna Wildlife Sanctuary, Tripura	http://tripuratourism.gov.in/trishna	http://tripuratourism.gov.in/trishna	Divisions / Units / Wings	Trishna Wildlife Sanctuary, Tripura	Tue, 29 Jun 2004 12:00:00 +0530
State Election Commission (SEC), Tripura	http://www.sec.tripura.gov.in	http://www.sec.tripura.gov.in	State Election Comission	State Election Commission (SEC), Tripura 	Fri, 25 Sep 2015 12:00:00 +0530
e-District, Government of Tripura	http://edistrict.tripura.gov.in	http://edistrict.tripura.gov.in	Online Citizen Services Portal	e-District, Government of Tripura	Sat, 08 Nov 2014 12:00:00 +0530
State Information Commission (SIC), Tripura 	http://rtitripura.nic.in	http://rtitripura.nic.in	State Information Commission	State Information Commission (SIC), Tripura 	Tue, 22 Sep 2009 12:00:00 +0530
Tripura Public Service Commission	http://tpsc.gov.in	http://tpsc.gov.in	State Public Service Commission	Tripura Public Service Commission	Fri, 03 Nov 2006 12:00:00 +0530
Tripura Electricity Regulatory Commission (TERC)	http://terc.nic.in	http://terc.nic.in	State Electricity Regulatory Commission	Tripura Electricity Regulatory Commission (TERC)	Sat, 02 Oct 2010 12:00:00 +0530
Tripura Commission for Women, Melarmath, Agartala, Tripura	http://tcw.gov.in	http://tcw.gov.in	State Commission for Women 	Tripura Commission for Women	Thu, 07 Mar 2013 12:00:00 +0530
Legislative Assembly, Tripura	http://tripuraassembly.nic.in	http://tripuraassembly.nic.in	State Legislative Assemblies	Legislative Assembly, Tripura	Wed, 06 Jun 2012 12:00:00 +0530
Gomati District, Tripura	http://gomati.nic.in	http://gomati.nic.in	Departments	Gomati District, Tripura	Fri, 21 Dec 2012 12:00:00 +0530
Forest Department, Tripura	http://forest.tripura.gov.in	http://forest.tripura.gov.in	Departments	Forest Department, Tripura	Mon, 12 Mar 2007 12:00:00 +0530
Health and Family Welfare Department, Tripura	http://tripuranrhm.gov.in	http://tripuranrhm.gov.in	Departments	Health and Family Welfare Department, Tripura	Mon, 20 Jun 2011 12:00:00 +0530
Law and Parliamentary Affairs Department	http://law.tripura.gov.in	http://law.tripura.gov.in	Departments	Law and Parliamentary Affairs Department, Government of Tripura	Wed, 27 Jun 2007 12:00:00 +0530
Animal Resources Development Department, Tripura	http://ardd.tripura.gov.in	http://ardd.tripura.gov.in	Departments	Animal Resources Development Department, Tripura	Mon, 14 Feb 2011 12:00:00 +0530
Information, Cultural Affairs and Tourism Department, Tripura	http://tripuratourism.nic.in	http://tripuratourism.nic.in	Departments	Information, Cultural Affairs and Tourism Department, Tripura	Thu, 07 Jun 2012 12:00:00 +0530
Sepahijala District, Tripura	http://sepahijala.nic.in	http://sepahijala.nic.in	Departments	Sepahijala District, Tripura	Thu, 11 Oct 2012 12:00:00 +0530
Frontier Headquarters Border Security Force, Tripura	http://tcm.bsf.gov.in	http://tcm.bsf.gov.in	Departments	Frontier Headquarters Border Security Force, Tripura	Mon, 12 Mar 2007 12:00:00 +0530
Transport Information System, Tripura	http://tsu.trp.nic.in/transport	http://tsu.trp.nic.in/transport	Departments	Official website of the Transport Department, Tripura	Tue, 10 Jan 2006 12:00:00 +0530
South Tripura District, Tripura	http://southtripura.gov.in	http://southtripura.gov.in	Departments	South Tripura District, Tripura	Tue, 01 Apr 2003 12:00:00 +0530
Khowai District, Tripura	http://khowai.nic.in	http://khowai.nic.in	Departments	Khowai District, Tripura	Wed, 23 May 2012 12:00:00 +0530
North Tripura District, Tripura	http://northtripura.gov.in	http://northtripura.gov.in	Departments	North Tripura District, Tripura	Wed, 20 Mar 2002 12:00:00 +0530
Dhalai District, Tripura	http://dhalai.gov.in	http://dhalai.gov.in	Departments	Dhalai District, Tripura	Wed, 20 Mar 2002 12:00:00 +0530
West Tripura District, Tripura	http://westtripura.gov.in	http://westtripura.gov.in	Departments	West Tripura District, Tripura	Thu, 15 Feb 2001 12:00:00 +0530
Fisheries Department, Tripura	http://fisheries.tripura.gov.in	http://fisheries.tripura.gov.in	Departments	Fisheries Department, Tripura	Sat, 01 Oct 2011 12:00:00 +0530
Agriculture Department, Tripura	http://agri.tripura.gov.in	http://agri.tripura.gov.in	Departments	Agriculture Department, Tripura	Wed, 13 Jul 2011 12:00:00 +0530
Labour Department, Tripura	http://labour.tripura.gov.in	http://labour.tripura.gov.in	Departments	Labour Department, Tripura	Fri, 25 Sep 2015 12:00:00 +0530
Finance Department, Tripura	http://finance.tripura.gov.in	http://finance.tripura.gov.in	Departments	Finance Department, Tripura	Fri, 25 Sep 2015 12:00:00 +0530
Planning and Coordination Department, Tripura	http://planning.tripura.gov.in	http://planning.tripura.gov.in	Departments	Planning and Coordination Department, Tripura	Fri, 25 Sep 2015 12:00:00 +0530
Public Works Department, Tripura	http://pwd.tripura.gov.in	http://pwd.tripura.gov.in	Departments	Public Works Department, Tripura	Fri, 25 Sep 2015 12:00:00 +0530
Co-operation Department, Tripura	http://tripura.nic.in/coop	http://tripura.nic.in/coop	Departments	Co-operation Department, Tripura	Mon, 28 Sep 2015 12:00:00 +0530
Health and Family Welfare Department, Tripura	http://health.tripura.gov.in	http://health.tripura.gov.in	Departments	Health and Family Welfare Department, Tripura	Mon, 28 Sep 2015 12:00:00 +0530
Information and Cultural Affairs Department, Tripura	http://tripuraica.in	http://tripuraica.in	Departments	Information and Cultural Affairs Department, Tripura	Mon, 28 Sep 2015 12:00:00 +0530
Rural Development Department, Tripura	http://rural.tripura.gov.in	http://rural.tripura.gov.in	Departments	Rural Development Department, Tripura	Fri, 25 Sep 2015 12:00:00 +0530
Industries and Commerce Department, Tripura	http://industries.tripura.gov.in	http://industries.tripura.gov.in	Departments	Industries and Commerce Department, Tripura	Fri, 25 Sep 2015 12:00:00 +0530
School Education Department, Tripura	http://schooleducation.tripura.gov.in	http://schooleducation.tripura.gov.in	Departments	School Education Department, Tripura	Fri, 25 Sep 2015 12:00:00 +0530
Tribal Welfare Department, Tripura	http://twdtripura.in	http://twdtripura.in	Departments	Tribal Welfare Department, Tripura	Fri, 25 Sep 2015 12:00:00 +0530
Welfare Of SCs Department, Tripura	http://scw.tripura.gov.in	http://scw.tripura.gov.in	Departments	Welfare Of SCs Department, Tripura	Fri, 25 Sep 2015 12:00:00 +0530
Youth Affairs and Sports Department, Tripura	http://yas.tripura.gov.in	http://yas.tripura.gov.in	Departments	Youth Affairs and Sports Department, Tripura	Fri, 25 Sep 2015 12:00:00 +0530
Welfare for Minorities Department, Tripura	http://minoritieswelfare.tripura.gov.in	http://minoritieswelfare.tripura.gov.in	Departments	Welfare for Minorities Department, Tripura	Fri, 25 Sep 2015 12:00:00 +0530
Welfare of OBCs Department, Tripura	http://obcw.tripura.gov.in	http://obcw.tripura.gov.in	Departments	Welfare of OBCs Department, Tripura	Fri, 25 Sep 2015 12:00:00 +0530
Transport Department, Tripura	http://transport.tripura.gov.in	http://transport.tripura.gov.in	Departments	Transport Department, Tripura	Tue, 06 Oct 2015 12:00:00 +0530
Science, Technology and Environment Department, Tripura	http://dstetripura.nic.in	http://dstetripura.nic.in	Departments	Science, Technology and Environment Department, Tripura	Tue, 31 Jan 2012 12:00:00 +0530
Unakoti District, Tripura	http://unakoti.nic.in	http://unakoti.nic.in	Departments	Unakoti District, Tripura	Wed, 28 Mar 2012 12:00:00 +0530
Police Department, Tripura	http://tripurapolice.gov.in	http://tripurapolice.gov.in	Departments	Official Website of Tripura Police	Tue, 29 Jun 2004 12:00:00 +0530
Food, Civil Supplies and Consumer Affairs Department, Tripura	http://fcatripura.gov.in	http://fcatripura.gov.in	Departments	Food, Civil Supplies and Consumer Affairs Department, Tripura	Mon, 18 Oct 2010 12:00:00 +0530
Revenue Department, Tripura	http://revenue.tripura.gov.in	http://revenue.tripura.gov.in	Departments	Revenue Department, Tripura	Fri, 25 Sep 2015 12:00:00 +0530
Uttarakhand Academy of Administration, Nainital	http://uaoa.gov.in	http://uaoa.gov.in	Apex Bodies	Uttarakhand Academy of Administration, Nainital	Tue, 04 Aug 2015 12:00:00 +0530
Repository of information on RTI, Uttarakhand	http://uic.gov.in	http://uic.gov.in	Apex Bodies	Repository of information on RTI, Uttarakhand	Tue, 19 Jun 2007 12:00:00 +0530
Directorate of Technical Education, Uttarakhand	http://ukdte.org	http://ukdte.org	Directorates / Commissionerates	Directorate of Technical Education, Uttarakhand	Mon, 17 Nov 2014 12:00:00 +0530
Watershed Management Directorate, Uttarakhand	http://wmduk.gov.in	http://wmduk.gov.in	Directorates / Commissionerates	Watershed Management Directorate, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Directorate of Training, Uttarakhand	http://dotuttarakhand.org	http://dotuttarakhand.org	Directorates / Commissionerates	Directorate of Training, Uttarakhand	Wed, 19 Feb 2014 12:00:00 +0530
Urban Development Directorate, Uttarakhand	http://udd.uk.gov.in	http://udd.uk.gov.in	Directorates / Commissionerates	Urban Development Directorate, Uttarakhand	Wed, 19 Feb 2014 12:00:00 +0530
Directorate of Economics and Statistics, Uttarakhand	http://des.uk.gov.in	http://des.uk.gov.in	Directorates / Commissionerates	Directorate of Economics and Statistics, Uttarakhand	Wed, 27 Apr 2011 12:00:00 +0530
Director of Industries, Dehradun, Uttarakhand	http://www.doiuk.org	http://www.doiuk.org	Directorates / Commissionerates	Director of Industries, Dehradun, Uttarakhand	Fri, 28 Jan 2011 12:00:00 +0530
Directorate of Higher Education, Uttarakhand	http://www.directorateheuk.org	http://www.directorateheuk.org	Directorates / Commissionerates	Directorate of Higher Education, Uttarakhand 	Fri, 10 Aug 2012 12:00:00 +0530
Directorate of Soldier Welfare and Rehabilitation Board, Uttarakhand	http://sainikkalyanuk.gov.in	http://sainikkalyanuk.gov.in	Directorates / Commissionerates	Directorate of Soldier Welfare and Rehabilitation Board, Uttarakhand	Wed, 03 May 2017 12:00:00 +0530
Uttarakhand Ayurved University, Harrawala, Dehradun	http://www.uau.ac.in	http://www.uau.ac.in	Autonomous / Apex Institutions	Uttarakhand Ayurved University, Harrawala, Dehradun	Mon, 17 Nov 2014 12:00:00 +0530
Uttarakhand Health and Family Welfare Society, Dehradun	http://www.ukhfws.org	http://www.ukhfws.org	Societies	Uttarakhand Health and Family Welfare Society, Dehradun	Wed, 18 Jul 2012 12:00:00 +0530
Uttarakhand Institute of Rural Development (UIRD), Rudrapur, Udhamsingh Nagar	http://www.uird.in	http://www.uird.in	Academies / Institutions (Grant in Aid)	Uttarakhand Institute of Rural Development (UIRD), Rudrapur, Udhamsingh Nagar	Mon, 27 Aug 2012 12:00:00 +0530
Govind Ballabh Pant University of Agriculture and Technology	http://gbpuat.ac.in	http://gbpuat.ac.in	Academies / Institutions (Grant in Aid)	Govind Ballabh Pant University of Agriculture and Technology	Fri, 10 Mar 2006 12:00:00 +0530
University of Petroleum and Energy Studies, Dehradun	http://www.upes.ac.in	http://www.upes.ac.in	Academies / Institutions (Grant in Aid)	University of Petroleum and Energy Studies, Dehradun	Wed, 31 Mar 2010 12:00:00 +0530
Rashtriya Madhyamik Shiksha Abhiyan (RMSA), Uttarakhand	http://rmsa.uk.gov.in	http://rmsa.uk.gov.in	Academies / Institutions (Grant in Aid)	Rashtriya Madhyamik Shiksha Abhiyan (RMSA), Uttarakhand	Wed, 19 Feb 2014 12:00:00 +0530
Bipin Chandra Tripathi  Kumaon Engineering College, Almora, Uttarakhand	http://www.kecua.ac.in	http://www.kecua.ac.in	Academies / Institutions (Grant in Aid)	Bipin Chandra Tripathi  Kumaon Engineering College, Almora,	Fri, 07 Oct 2011 12:00:00 +0530
Uttarakhand University of Horticulture and Forestry (UUHF), Bharsar	http://www.uuhf.ac.in	http://www.uuhf.ac.in	Academies / Institutions (Grant in Aid)	Uttarakhand University of Horticulture and Forestry (UUHF), Bharsar	Mon, 17 Nov 2014 12:00:00 +0530
Srinagar Medical College, Uttarakhand	http://ua.nic.in/smc.ac.in	http://ua.nic.in/smc.ac.in	Academies / Institutions (Grant in Aid)	Srinagar Medical College, Uttarakhand	Mon, 14 Jul 2008 12:00:00 +0530
Bioinformatics Centre, Kumaun University Nainital, Uttrakhand	http://kubic.nic.in	http://kubic.nic.in	Academies / Institutions (Grant in Aid)	Bioinformatics Centre, Kumaun University Nainital, Uttrakhand	Mon, 25 Jun 2012 12:00:00 +0530
Uttarakhand Sanskrit University, Haridwar	http://usvv.ac.in	http://usvv.ac.in	Academies / Institutions (Grant in Aid)	Uttarakhand Sanskrit University, Haridwar	Tue, 18 Nov 2014 12:00:00 +0530
Uttarakhand Technical University, Dehradun	http://uktech.ac.in	http://uktech.ac.in	Academies / Institutions (Grant in Aid)	Uttarakhand Technical University, Dehradun	Tue, 26 Apr 2011 12:00:00 +0530
Kumaun University, Uttarakhand	http://www.kunainital.ac.in	http://www.kunainital.ac.in	Academies / Institutions (Grant in Aid)	Kumaun University, Uttarakhand	Wed, 27 Apr 2011 12:00:00 +0530
Government Polytechnic, Kashipur	http://gpkashipur.in	http://gpkashipur.in	Academies / Institutions (Grant in Aid)	Government Polytechnic, Kashipur	Thu, 30 Dec 2010 12:00:00 +0530
College of Technology, G B Pant University of Agriculture and Technology, Pantnagar, Uttarakhand	http://www.gbpuat-tech.ac.in	http://www.gbpuat-tech.ac.in	Academies / Institutions (Grant in Aid)	College of Technology, G B Pant University of Agriculture and Technology, Pantnagar, Uttarakhand  	Fri, 24 Jun 2011 12:00:00 +0530
Sarva Siksha Abhiyan (SSA), Uttarakhand	http://ssa.uk.gov.in	http://ssa.uk.gov.in	Academies / Institutions (Grant in Aid)	Sarva Siksha Abhiyan (SSA), Uttarakhand	Wed, 27 Apr 2011 12:00:00 +0530
Doon University, Dehradun	http://doonuniversity.ac.in	http://doonuniversity.ac.in	Academies / Institutions (Grant in Aid)	Doon University, Dehradun	Wed, 27 Apr 2011 12:00:00 +0530
Uttarakhand Open University, Nainital	http://uou.ac.in	http://uou.ac.in	Academies / Institutions (Grant in Aid)	Uttarakhand Open University, Nainital 	Tue, 26 Apr 2011 12:00:00 +0530
Minor Irrigation, Uttarakhand	http://www.minorirrigation-uttarakhand.in	http://www.minorirrigation-uttarakhand.in	Boards / Undertakings	Minor Irrigation, Uttarakhand	Wed, 27 Apr 2011 12:00:00 +0530
Uttarakhand Disaster Recovery Initiative	http://www.ukdisasterrecovery.in	http://www.ukdisasterrecovery.in	Boards / Undertakings	Uttarakhand Disaster Recovery Initiative	Tue, 05 Aug 2014 12:00:00 +0530
Uttarakhand Tourism Development Board	http://uttarakhandtourism.gov.in	http://uttarakhandtourism.gov.in	Boards / Undertakings	Uttarakhand Tourism Development Board	Mon, 08 Oct 2012 12:00:00 +0530
Uttarakhand Transport Corporation (UTC)	http://utc.uk.gov.in	http://utc.uk.gov.in	Boards / Undertakings	Uttarakhand Transport Corporation (UTC)	Tue, 18 Feb 2014 12:00:00 +0530
Geology and Mining Unit, Directorate of Industries, Uttarakhand	http://dgm.uk.gov.in	http://dgm.uk.gov.in	Boards / Undertakings	Geology and Mining Unit, Directorate of Industries, Uttarakhand	Wed, 19 Feb 2014 12:00:00 +0530
Bhagirathi River Valley Development Authority, Uttarakhand	http://brvda.uk.gov.in	http://brvda.uk.gov.in	Boards / Undertakings	Bhagirathi River Valley Development Authority, Uttarakhand	Wed, 19 Feb 2014 12:00:00 +0530
Pey Jal Nigam, Uttarakhand	http://peyjal.uk.gov.in	http://peyjal.uk.gov.in	Boards / Undertakings	Pey Jal Nigam, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
State Council Education Research and Training, Uttarakhand	http://scert.uk.gov.in	http://scert.uk.gov.in	Boards / Undertakings	State Council Education Research and Training, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
State Institute of Educational Management and Training (SIEMAT), Uttarakhand	http://siemat.uk.gov.in	http://siemat.uk.gov.in	Boards / Undertakings	State Institute of Educational Management and Training (SIEMAT), Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Uttarakhand Board Of School Education	http://ubse.uk.gov.in	http://ubse.uk.gov.in	Boards / Undertakings	Uttarakhand Board Of School Education	Thu, 20 Feb 2014 12:00:00 +0530
Uttarakhand Agricultural Produce Marketing Board (UKAMB) 	http://www.ukapmb.org	http://www.ukapmb.org	Boards / Undertakings	Uttarakhand Agricultural Produce Marketing Board (UKAMB) 	Fri, 28 Jan 2005 12:00:00 +0530
Uttaranchal Seeds and Tarai Development Corporation Limited (UAS  and  TDC)	http://www.pantnagarseeds.com	http://www.pantnagarseeds.com	Boards / Undertakings	Uttaranchal Seeds and Tarai Development Corporation Limited (UAS &amp; TDC)	Tue, 03 May 2005 12:00:00 +0530
Uttarakhand State Infrastructure Development Corporation Limited (USIDCL), Dehradun	http://usidcl.gov.in	http://usidcl.gov.in	Boards / Undertakings	Uttarakhand State Infrastructure Development Corporation Limited (USIDCL), Dehradun	Wed, 27 Apr 2011 12:00:00 +0530
Uttarakhand Tea Development Board, Almora	http://utdb.uk.gov.in	http://utdb.uk.gov.in	Boards / Undertakings	Uttarakhand Tea Development Board, Almora	Wed, 27 Apr 2011 12:00:00 +0530
Kumaon Mandal Vikas Nigam Limited (KMVNL)	http://www.kmvn.gov.in	http://www.kmvn.gov.in	Boards / Undertakings	Kumaon Mandal Vikas Nigam Limited (KMVNL)	Tue, 06 Jul 2004 12:00:00 +0530
Uttarakhand Power Corporation Limited (UPCL)	http://www.upcl.org	http://www.upcl.org	Boards / Undertakings	Uttarakhand Power Corporation Limited (UPCL)	Mon, 02 Jul 2007 12:00:00 +0530
Uttarakhand State AIDS Control Society (USACS)	http://www.uasacs.org	http://www.uasacs.org	Boards / Undertakings	Uttarakhand State AIDS Control Society (USACS)	Tue, 12 Jul 2011 12:00:00 +0530
State Biodiversity Board, Uttarakhand	http://sbb.uk.gov.in	http://sbb.uk.gov.in	Boards / Undertakings	State Biodiversity Board, Uttarakhand	Wed, 27 Apr 2011 12:00:00 +0530
Uttarakhand Livestock Development Board (ULDB)	http://www.uldb.org	http://www.uldb.org	Boards / Undertakings	Uttarakhand Livestock Development Board (ULDB)	Wed, 27 Apr 2011 12:00:00 +0530
Mussoorie Dehradun Development Authority (MDDA)	http://www.mddaonline.com	http://www.mddaonline.com	Boards / Undertakings	Mussoorie Dehradun Development Authority (MDDA)	Wed, 27 Apr 2011 12:00:00 +0530
Uttarakahnd Bamboo and Fiber Development Board, DehraDun	http://ubfdb.org	http://ubfdb.org	Boards / Undertakings	Uttarakahnd Bamboo and Fiber Development Board, DehraDun	Wed, 27 Apr 2011 12:00:00 +0530
Uttaranchal Jal Vidyut Nigam Limited	http://www.uttarakhandjalvidyut.com	http://www.uttarakhandjalvidyut.com	Boards / Undertakings	Uttaranchal Jal Vidyut Nigam Limited	Fri, 25 Feb 2000 12:00:00 +0530
State Industrial Development Corporation of Uttaranchal Limited (SIDCUL)	http://www.sidcul.com	http://www.sidcul.com	Boards / Undertakings	State Industrial Development Corporation of Uttaranchal Limited (SIDCUL)	Mon, 16 Feb 2004 12:00:00 +0530
Garhwal Mandal Vikas Nigam Limited (GMVNL)	http://www.gmvnl.in	http://www.gmvnl.in	Boards / Undertakings	Garhwal Mandal Vikas Nigam Limited (GMVNL)	Tue, 06 Jul 2004 12:00:00 +0530
